,Unnamed: 0,Time,Open,High,Low,Last,Change,%Chg,Volume,Classification
324,324,09/15/2017,248.69,249.29,248.57,249.19,-0.9,-0.36%,95432304.0,False
325,325,09/14/2017,249.8,250.32,249.6,250.09,-0.08,-0.03%,95446304.0,False
326,326,09/13/2017,249.72,250.21,249.59,250.17,0.12,+0.05%,59228000.0,True
327,327,09/12/2017,249.63,250.09,249.42,250.05,0.84,+0.34%,56896000.0,True
328,328,09/11/2017,248.04,249.3,248.02,249.21,2.63,+1.07%,71364800.0,True
329,329,09/08/2017,246.54,247.11,246.3,246.58,-0.29,-0.12%,63832800.0,False
330,330,09/07/2017,247.25,247.27,246.4,246.87,-0.03,-0.01%,58034700.0,False
331,331,09/06/2017,246.84,247.28,246.23,246.9,0.84,+0.34%,57916800.0,True
332,332,09/05/2017,247.26,247.52,244.95,246.06,-1.78,-0.72%,91398704.0,False
333,333,09/01/2017,247.92,248.33,247.67,247.84,0.35,+0.14%,62006900.0,True
334,334,08/31/2017,246.72,247.77,246.05,247.49,1.48,+0.60%,103803800.0,True
335,335,08/30/2017,244.83,246.32,244.62,246.01,1.16,+0.47%,62030800.0,True
336,336,08/29/2017,243.06,245.15,242.93,244.85,0.28,+0.11%,51103100.0,True
337,337,08/28/2017,245.17,245.2,244.09,244.57,0.01,0.00%,40565600.0,True
338,338,08/25/2017,244.9,245.61,244.39,244.56,0.57,+0.23%,64445900.0,True
339,339,08/24/2017,245.0,245.18,243.75,243.99,-0.57,-0.23%,50741600.0,False
340,340,08/23/2017,244.33,245.05,244.16,244.56,-0.88,-0.36%,50203800.0,False
341,341,08/22/2017,243.57,245.62,243.55,245.44,2.54,+1.05%,63140100.0,True
342,342,08/21/2017,242.64,243.2,241.83,242.9,0.19,+0.08%,65469700.0,True
343,343,08/18/2017,242.9,244.19,242.2,242.71,-0.38,-0.16%,136747904.0,False
344,344,08/17/2017,246.24,246.6,243.09,243.09,-3.85,-1.56%,128490400.0,False
345,345,08/16/2017,247.11,247.57,246.45,246.94,0.43,+0.17%,56715500.0,True
346,346,08/15/2017,246.98,247.0,246.16,246.51,-0.03,-0.01%,55242700.0,False
347,347,08/14/2017,245.59,246.79,245.55,246.54,2.42,+0.99%,73291904.0,True
348,348,08/11/2017,244.02,244.8,243.75,244.12,0.36,+0.15%,74869904.0,True
349,349,08/10/2017,246.29,246.44,243.7,243.76,-3.49,-1.41%,120479400.0,False
350,350,08/09/2017,246.47,247.31,246.06,247.25,-0.01,0.00%,62632600.0,False
351,351,08/08/2017,247.51,248.91,246.83,247.26,-0.61,-0.25%,61719300.0,False
352,352,08/07/2017,247.49,247.87,247.37,247.87,0.46,+0.19%,31995000.0,True
353,353,08/04/2017,247.52,247.79,246.97,247.41,0.45,+0.18%,60191800.0,True
354,354,08/03/2017,247.31,247.34,246.64,246.96,-0.48,-0.19%,40855900.0,False
355,355,08/02/2017,247.47,247.6,246.37,247.44,0.12,+0.05%,47211200.0,True
356,356,08/01/2017,247.46,247.5,246.72,247.32,0.55,+0.22%,55050400.0,True
357,357,07/31/2017,247.37,247.48,246.53,246.77,-0.14,-0.06%,65838600.0,False
358,358,07/28/2017,246.65,247.06,246.13,246.91,-0.29,-0.12%,50088300.0,False
359,359,07/27/2017,247.96,248.0,245.68,247.2,-0.23,-0.09%,70766496.0,False
360,360,07/26/2017,247.75,247.79,247.13,247.43,0.01,0.00%,47575400.0,True
361,361,07/25/2017,247.68,247.8,247.16,247.42,0.6,+0.24%,54915500.0,True
362,362,07/24/2017,246.79,246.98,246.28,246.82,-0.06,-0.02%,46622200.0,False
363,363,07/21/2017,246.44,246.91,246.18,246.88,-0.22,-0.09%,88711000.0,False
364,364,07/20/2017,247.28,247.42,246.47,247.1,0.11,+0.04%,47135100.0,True
365,365,07/19/2017,246.02,247.0,246.01,246.99,1.33,+0.54%,51034200.0,True
366,366,07/18/2017,245.06,245.72,244.67,245.66,0.13,+0.05%,42742500.0,True
367,367,07/17/2017,245.47,245.91,245.33,245.53,-0.03,-0.01%,33531900.0,False
368,368,07/14/2017,244.43,245.97,244.31,245.56,1.14,+0.47%,60262600.0,True
369,369,07/13/2017,244.02,244.55,243.76,244.42,0.41,+0.17%,39471600.0,True
370,370,07/12/2017,243.3,244.2,243.3,244.01,1.82,+0.75%,59610400.0,True
371,371,07/11/2017,242.16,242.55,240.85,242.19,-0.18,-0.07%,50354600.0,False
372,372,07/10/2017,241.95,242.8,241.76,242.37,0.26,+0.11%,36663200.0,True
373,373,07/07/2017,241.21,242.28,240.56,242.11,1.56,+0.65%,57972200.0,True
374,374,07/06/2017,241.89,242.03,240.34,240.55,-2.22,-0.91%,66115300.0,False
375,375,07/05/2017,242.63,243.01,241.7,242.77,0.56,+0.23%,54427600.0,True
376,376,07/03/2017,242.88,243.38,242.21,242.21,0.41,+0.17%,39153800.0,True
377,377,06/30/2017,242.28,242.71,241.57,241.8,0.45,+0.19%,86820600.0,True
378,378,06/29/2017,243.66,243.72,239.96,241.35,-2.14,-0.88%,106949696.0,False
379,379,06/28/2017,242.5,243.71,242.23,243.49,2.16,+0.90%,70042600.0,True
380,380,06/27/2017,243.04,243.38,241.31,241.33,-1.96,-0.81%,82247600.0,False
381,381,06/26/2017,243.9,244.38,243.04,243.29,0.16,+0.07%,56700400.0,True
